measure_id,measure_name,location_id,location_name,sex_id,sex_name,age_id,age_name,cause_id,cause_name,metric_id,metric_name,year,val,upper,lower
1,Deaths,68,Republic of Korea,3,Both,22,All ages,945,Conflict and terrorism,1,Number,1980,0.0,0.0,0.0
1,Deaths,385,Puerto Rico,3,Both,22,All ages,945,Conflict and terrorism,1,Number,1981,0.0,0.0,0.0
1,Deaths,101,Canada,3,Both,22,All ages,945,Conflict and terrorism,1,Number,1980,8.999672271541412,9.896713665463464,8.184302045628
1,Deaths,35,Georgia,3,Both,22,All ages,945,Conflict and terrorism,1,Number,1980,0.0,0.0,0.0
1,Deaths,36,Kazakhstan,3,Both,22,All ages,945,Conflict and terrorism,1,Number,1980,0.0,0.0,0.0
1,Deaths,160,Afghanistan,3,Both,22,All ages,945,Conflict and terrorism,1,Number,1981,29701.659605564848,99692.41916467293,4874.367349105353
1,Deaths,84,Ireland,3,Both,22,All ages,945,Conflict and terrorism,1,Number,1980,2.9998907571804674,3.298904555154484,2.7281006818759956
1,Deaths,51,Poland,3,Both,22,All ages,945,Conflict and terrorism,1,Number,1980,0.0,0.0,0.0
1,Deaths,38,Mongolia,3,Both,22,All ages,945,Conflict and terrorism,1,Number,1982,0.0,0.0,0.0
1,Deaths,71,Australia,3,Both,22,All ages,945,Conflict and terrorism,1,Number,1982,0.0,0.0,0.0
1,Deaths,127,El Salvador,3,Both,22,All ages,945,Conflict and terrorism,1,Number,1981,14574.174803496426,20275.634856171902,10236.757236972948
1,Deaths,29,Tonga,3,Both,22,All ages,945,Conflict and terrorism,1,Number,1981,0.0,0.0,0.0
1,Deaths,184,Mozambique,3,Both,22,All ages,945,Conflict and terrorism,1,Number,1982,5495.31362307598,13987.877461982458,1602.84426980863
1,Deaths,149,Palestine,3,Both,22,All ages,945,Conflict and terrorism,1,Number,1980,30.99887115753155,34.08868040326306,28.190373712718667
1,Deaths,201,Burkina Faso,3,Both,22,All ages,945,Conflict and terrorism,1,Number,1980,0.0,0.0,0.0
1,Deaths,136,Paraguay,3,Both,22,All ages,945,Conflict and terrorism,1,Number,1982,0.9999635857268248,1.099634851718164,0.9093668939586669
1,Deaths,61,Republic of Moldova,3,Both,22,All ages,945,Conflict and terrorism,1,Number,1981,0.0,0.0,0.0
1,Deaths,182,Malawi,3,Both,22,All ages,945,Conflict and terrorism,1,Number,1980,0.0,0.0,0.0
1,Deaths,69,Singapore,3,Both,22,All ages,945,Conflict and terrorism,1,Number,1980,0.0,0.0,0.0
1,Deaths,165,Pakistan,3,Both,22,All ages,945,Conflict and terrorism,1,Number,1980,16.99938095735602,18.693792479208767,15.459237197297334
1,Deaths,94,Switzerland,3,Both,22,All ages,945,Conflict and terrorism,1,Number,1981,1.9999271714536457,2.199269703436322,1.81873378791733
1,Deaths,20,Viet Nam,3,Both,22,All ages,945,Conflict and terrorism,1,Number,1980,10.330323815068098,11.359997762644829,9.394396571418797
1,Deaths,14,Maldives,3,Both,22,All ages,945,Conflict and terrorism,1,Number,1981,0.0,0.0,0.0
1,Deaths,22,Fiji,3,Both,22,All ages,945,Conflict and terrorism,1,Number,1980,0.0,0.0,0.0
1,Deaths,54,Slovakia,3,Both,22,All ages,945,Conflict and terrorism,1,Number,1980,0.0,0.0,0.0
1,Deaths,122,Ecuador,3,Both,22,All ages,945,Conflict and terrorism,1,Number,1982,1.9999271714536455,2.1992697034363213,1.8187337879173295
1,Deaths,52,Romania,3,Both,22,All ages,945,Conflict and terrorism,1,Number,1980,148.48158422085282,163.28147062365116,135.02915404148104
1,Deaths,194,Lesotho,3,Both,22,All ages,945,Conflict and terrorism,1,Number,1981,9.999635857268242,10.996348517181628,9.093668939586669
1,Deaths,87,Luxembourg,3,Both,22,All ages,945,Conflict and terrorism,1,Number,1980,0.0,0.0,0.0
1,Deaths,186,Seychelles,3,Both,22,All ages,945,Conflict and terrorism,1,Number,1980,0.0,0.0,0.0
1,Deaths,19,Timor-Leste,3,Both,22,All ages,945,Conflict and terrorism,1,Number,1980,1007.9632944126391,1108.4319305319088,916.6418291103361
1,Deaths,522,Sudan,3,Both,22,All ages,945,Conflict and terrorism,1,Number,1981,1.9999271714536464,2.1992697034363236,1.8187337879173302
1,Deaths,62,Russian Federation,3,Both,22,All ages,945,Conflict and terrorism,1,Number,1981,0.0,0.0,0.0
1,Deaths,133,Venezuela (Bolivarian Republic of),3,Both,22,All ages,945,Conflict and terrorism,1,Number,1980,11.999563028721884,13.195618220617957,10.912402727503999
1,Deaths,203,Cabo Verde,3,Both,22,All ages,945,Conflict and terrorism,1,Number,1982,0.0,0.0,0.0
1,Deaths,85,Israel,3,Both,22,All ages,945,Conflict and terrorism,1,Number,1980,29.998907571804732,32.98904555154489,27.28100681876
1,Deaths,14,Maldives,3,Both,22,All ages,945,Conflict and terrorism,1,Number,1983,0.0,0.0,0.0
1,Deaths,117,Saint Vincent and the Grenadines,3,Both,22,All ages,945,Conflict and terrorism,1,Number,1980,0.0,0.0,0.0
1,Deaths,153,Syrian Arab Republic,3,Both,22,All ages,945,Conflict and terrorism,1,Number,1980,598.4263247401998,1552.5099417954232,168.56433559997274
1,Deaths,47,Czechia,3,Both,22,All ages,945,Conflict and terrorism,1,Number,1983,0.0,0.0,0.0
1,Deaths,86,Italy,3,Both,22,All ages,945,Conflict and terrorism,1,Number,1980,138.99493841602856,152.84924438882467,126.40199826025469
1,Deaths,150,Oman,3,Both,22,All ages,945,Conflict and terrorism,1,Number,1980,0.0,0.0,0.0
1,Deaths,47,Czechia,3,Both,22,All ages,945,Conflict and terrorism,1,Number,1981,0.0,0.0,0.0
1,Deaths,15,Myanmar,3,Both,22,All ages,945,Conflict and terrorism,1,Number,1981,3278.2984217923736,9627.711998350058,724.4234444811552
1,Deaths,113,Guyana,3,Both,22,All ages,945,Conflict and terrorism,1,Number,1981,0.9999635857268218,1.0996348517181598,0.9093668939586635
1,Deaths,146,Lebanon,3,Both,22,All ages,945,Conflict and terrorism,1,Number,1981,263.9903866318819,290.30360085359507,240.07286000508805
1,Deaths,55,Slovenia,3,Both,22,All ages,945,Conflict and terrorism,1,Number,1980,0.0,0.0,0.0
1,Deaths,416,Tuvalu,3,Both,22,All ages,945,Conflict and terrorism,1,Number,1981,0.0,0.0,0.0
1,Deaths,80,France,3,Both,22,All ages,945,Conflict and terrorism,1,Number,1981,43.998397771980294,48.38393347559915,40.012143334181324
1,Deaths,349,Greenland,3,Both,22,All ages,945,Conflict and terrorism,1,Number,1980,0.0,0.0,0.0
1,Deaths,37,Kyrgyzstan,3,Both,22,All ages,945,Conflict and terrorism,1,Number,1980,0.0,0.0,0.0
1,Deaths,216,Senegal,3,Both,22,All ages,945,Conflict and terrorism,1,Number,1980,0.0,0.0,0.0
1,Deaths,435,South Sudan,3,Both,22,All ages,945,Conflict and terrorism,1,Number,1980,0.0,0.0,0.0
1,Deaths,15,Myanmar,3,Both,22,All ages,945,Conflict and terrorism,1,Number,1983,3251.1792237785,9377.68427100786,745.5452767784979
1,Deaths,200,Benin,3,Both,22,All ages,945,Conflict and terrorism,1,Number,1980,0.0,0.0,0.0
1,Deaths,106,Bahamas,3,Both,22,All ages,945,Conflict and terrorism,1,Number,1980,0.0,0.0,0.0
1,Deaths,80,France,3,Both,22,All ages,945,Conflict and terrorism,1,Number,1983,45.07305863756091,49.56571105074069,40.98943993511873
1,Deaths,118,Suriname,3,Both,22,All ages,945,Conflict and terrorism,1,Number,1980,0.0,0.0,0.0
1,Deaths,7,Democratic People's Republic of Korea,3,Both,22,All ages,945,Conflict and terrorism,1,Number,1980,0.0,0.0,0.0
1,Deaths,179,Ethiopia,3,Both,22,All ages,945,Conflict and terrorism,1,Number,1981,2014.5252022468223,5173.070786464281,578.2422447115318
1,Deaths,320,Cook Islands,3,Both,22,All ages,945,Conflict and terrorism,1,Number,1981,0.0,0.0,0.0
1,Deaths,213,Niger,3,Both,22,All ages,945,Conflict and terrorism,1,Number,1981,0.0,0.0,0.0
1,Deaths,155,Turkey,3,Both,22,All ages,945,Conflict and terrorism,1,Number,1982,8.999672271541412,9.896713665463462,8.184302045627996
1,Deaths,146,Lebanon,3,Both,22,All ages,945,Conflict and terrorism,1,Number,1983,6555.321284047339,7208.722248529523,5961.409235359676
1,Deaths,123,Peru,3,Both,22,All ages,945,Conflict and terrorism,1,Number,1982,724.4778706777132,1168.3477623785693,424.16370656739036
1,Deaths,172,Equatorial Guinea,3,Both,22,All ages,945,Conflict and terrorism,1,Number,1980,0.0,0.0,0.0
1,Deaths,113,Guyana,3,Both,22,All ages,945,Conflict and terrorism,1,Number,1983,0.0,0.0,0.0
1,Deaths,139,Algeria,3,Both,22,All ages,945,Conflict and terrorism,1,Number,1980,0.0,0.0,0.0
1,Deaths,57,Belarus,3,Both,22,All ages,945,Conflict and terrorism,1,Number,1982,0.0,0.0,0.0
1,Deaths,205,Côte d'Ivoire,3,Both,22,All ages,945,Conflict and terrorism,1,Number,1980,0.0,0.0,0.0
1,Deaths,189,United Republic of Tanzania,3,Both,22,All ages,945,Conflict and terrorism,1,Number,1982,0.0,0.0,0.0
1,Deaths,151,Qatar,3,Both,22,All ages,945,Conflict and terrorism,1,Number,1980,0.0,0.0,0.0
1,Deaths,135,Brazil,3,Both,22,All ages,945,Conflict and terrorism,1,Number,1980,18.99930812880968,20.8930621826451,17.277970985214676
1,Deaths,75,Austria,3,Both,22,All ages,945,Conflict and terrorism,1,Number,1982,0.0,0.0,0.0
1,Deaths,169,Central African Republic,3,Both,22,All ages,945,Conflict and terrorism,1,Number,1982,0.0,0.0,0.0
1,Deaths,26,Papua New Guinea,3,Both,22,All ages,945,Conflict and terrorism,1,Number,1980,0.0,0.0,0.0
1,Deaths,33,Armenia,3,Both,22,All ages,945,Conflict and terrorism,1,Number,1981,0.0,0.0,0.0
1,Deaths,8,Taiwan (Province of China),3,Both,22,All ages,945,Conflict and terrorism,1,Number,1980,0.0,0.0,0.0
1,Deaths,40,Turkmenistan,3,Both,22,All ages,945,Conflict and terrorism,1,Number,1980,0.0,0.0,0.0
1,Deaths,351,Guam,3,Both,22,All ages,945,Conflict and terrorism,1,Number,1980,0.0,0.0,0.0
1,Deaths,183,Mauritius,3,Both,22,All ages,945,Conflict and terrorism,1,Number,1980,0.0,0.0,0.0
1,Deaths,217,Sierra Leone,3,Both,22,All ages,945,Conflict and terrorism,1,Number,1980,0.0,0.0,0.0
1,Deaths,374,Niue,3,Both,22,All ages,945,Conflict and terrorism,1,Number,1980,0.0,0.0,0.0
1,Deaths,141,Egypt,3,Both,22,All ages,945,Conflict and terrorism,1,Number,1982,0.0,0.0,0.0
1,Deaths,422,United States Virgin Islands,3,Both,22,All ages,945,Conflict and terrorism,1,Number,1981,0.0,0.0,0.0
1,Deaths,165,Pakistan,3,Both,22,All ages,945,Conflict and terrorism,1,Number,1981,3.999854342907292,4.398539406872646,3.63746757583466
1,Deaths,33,Armenia,3,Both,22,All ages,945,Conflict and terrorism,1,Number,1983,0.0,0.0,0.0
1,Deaths,206,Gambia,3,Both,22,All ages,945,Conflict and terrorism,1,Number,1980,0.0,0.0,0.0
1,Deaths,28,Solomon Islands,3,Both,22,All ages,945,Conflict and terrorism,1,Number,1981,0.0,0.0,0.0
